event,meet,stroke,gender,distance,source_file,meet_category,records,entries
101,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
102,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
103,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
104,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
111,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
112,2021 Speedo Summer Championships   West   Time Trials Results,Backstroke Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
113,2021 Speedo Summer Championships   West   Time Trials Results,Backstroke Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
117,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
118,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
122,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
123,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
125,2021 Speedo Summer Championships   West   Time Trials Results,Backstroke Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
128,2021 Speedo Summer Championships   West   Time Trials Results,IM Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
132,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Men,50,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
135,2021 Speedo Summer Championships   West   Time Trials Results,Backstroke Time Trial,Women,50,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
138,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Men,50,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
201,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
202,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
203,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
204,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
208,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
209,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
210,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
212,2021 Speedo Summer Championships   West   Time Trials Results,Backstroke Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
213,2021 Speedo Summer Championships   West   Time Trials Results,Backstroke Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
217,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
218,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
222,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
223,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
224,2021 Speedo Summer Championships   West   Time Trials Results,Backstroke Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
225,2021 Speedo Summer Championships   West   Time Trials Results,Backstroke Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
228,2021 Speedo Summer Championships   West   Time Trials Results,IM Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
229,2021 Speedo Summer Championships   West   Time Trials Results,IM Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
231,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Women,50,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
232,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Men,50,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
240,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Men,50,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
302,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
303,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
304,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
308,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
309,2021 Speedo Summer Championships   West   Time Trials Results,Freestyle Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
310,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Women,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
311,2021 Speedo Summer Championships   West   Time Trials Results,Breaststroke Time Trial,Men,200,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
315,2021 Speedo Summer Championships   West   Time Trials Results,IM Time Trial,Women,400,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
317,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Women,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
318,2021 Speedo Summer Championships   West   Time Trials Results,Butter(cid:976)ly Time Trial,Men,100,2021-speedo-summer-championships---west---time-trials-results.pdf,national-championships,[],[]
