pdf_path,meet_name,meet_date,meet_location,event_number,event_name,gender,distance,stroke,world_record,american_record,us_open_record
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,1,"1500 FREESTYLE
WORLD",WOMEN,1500,"FREESTYLE
WORLD",15:20.48,15:20.48,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,2,1500 FREESTYLE,WOMEN,1500,FREESTYLE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,6,"100 FREESTYLE
WORLD",WOMEN,100,"FREESTYLE
WORLD",0:51.71,0:52.04,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,7,100 FREESTYLE,WOMEN,100,FREESTYLE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,15,"100 BREASTSTROKE
WORLD",WOMEN,100,"BREASTSTROKE
WORLD",1:04.13,1:04.13,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,16,100 BREASTSTROKE,WOMEN,100,BREASTSTROKE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,23,"50 BACKSTROKE
WORLD",WOMEN,50,"BACKSTROKE
WORLD",0:26.86,0:27.10,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,24,50 BACKSTROKE,WOMEN,50,BACKSTROKE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,31,"200 BUTTERFLY
WORLD",WOMEN,200,"BUTTERFLY
WORLD",2:01.81,2:03.84,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,32,200 BUTTERFLY,WOMEN,200,BUTTERFLY,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,37,"400 FREESTYLE
WORLD",WOMEN,400,"FREESTYLE
WORLD",3:55.38,3:56.46,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,38,400 FREESTYLE,WOMEN,400,FREESTYLE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,45,"200 FREESTYLE
WORLD",WOMEN,200,"FREESTYLE
WORLD",1:52.23,1:53.61,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,46,200 FREESTYLE,WOMEN,200,FREESTYLE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,54,"50 BREASTSTROKE
WORLD",WOMEN,50,"BREASTSTROKE
WORLD",0:29.16,0:29.40,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,55,50 BREASTSTROKE,WOMEN,50,BREASTSTROKE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,62,"50 BUTTERFLY
WORLD",WOMEN,50,"BUTTERFLY
WORLD",0:24.43,0:25.11,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,63,50 BUTTERFLY,WOMEN,50,BUTTERFLY,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,69,"200 BACKSTROKE
WORLD",WOMEN,200,"BACKSTROKE
WORLD",2:03.14,2:03.35,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,73,"400 IM
WORLD",WOMEN,400,"IM
WORLD",4:24.38,4:31.12,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,75,400 IM,WOMEN,400,IM,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,80,"800 FREESTYLE
WORLD",WOMEN,800,"FREESTYLE
WORLD",8:04.79,8:04.79,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,81,800 FREESTYLE,WOMEN,800,FREESTYLE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,85,"100 BACKSTROKE
WORLD",WOMEN,100,"BACKSTROKE
WORLD",0:57.13,0:57.13,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,86,100 BACKSTROKE,WOMEN,100,BACKSTROKE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,92,"200 BREASTSTROKE
WORLD",WOMEN,200,"BREASTSTROKE
WORLD",2:17.55,2:19.24,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,93,200 BREASTSTROKE,WOMEN,200,BREASTSTROKE,,,
/Users/hlecates/Desktop/Projects/Record_Predictor/data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,USA Swimming-National Meets HY-TEK's MEET MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,,,98,"100 BUTTERFLY
WORLD",WOMEN,100,"BUTTERFLY
WORLD",0:55.18,0:55.18,
