pdf_path,meet_name,gender,event_number,stroke,world_record,american_record,athlete_name,age,entry_time,final_time
../data/raw/Layout A/u-s-olympic-team-trials---wave-ii-complete-meet-results.pdf,MANAGER 8.0 - 7:56 PM 6/20/2021 Page 1,Men,400,Meter IM,14:46.09,14:39.48,,,,
../data/raw/Layout A/2023-toyota-us-open-championships-complete-competition-results.pdf,MANAGER 8.0 - 8:34 PM 12/2/2023 Page 1,Women,800,Meter Freestyle,1:53.79,1:51.51,,,,
../data/raw/Layout A/2024-us-olympic-team-trials-swimming---complete-competition-results.pdf,MANAGER 8.0 - 8:35 PM 6/23/2024 Page 1,,,,4:10.02,4:03.84,,,,
../data/raw/Layout A/2021-speedo-summer-championships---west---meet-results.pdf,MANAGER 8.0 - 7:11 PM 8/7/2021 Page 1,Women,200,Meter Butter(cid:976)ly,7:32.12,7:41.87,,,,
../data/raw/Layout A/2000.pdf,,WOMEN,400,Individual Medley,,,,,,
../data/raw/Layout A/phillips-66-intl-team-trials---complete-results.pdf,MANAGER 8.0 - 7:47 PM 4/30/2022 Page 1,Women,200,Meter Butterfly,7:32.12,7:41.87,,,,
../data/raw/Layout A/2020-us-olympic-team-trials---complete-wave-i-results.pdf,MANAGER 8.0 - 8:59 PM 6/7/2021 Page 1,Women,100,Meter Freestyle,14:31.02,14:39.48,,,,
../data/raw/Layout A/richmond-complete-results.pdf,MANAGER 7.0 - 7:59 PM 4/13/2019 Page 1,Women,800,Meter Freestyle,1:55.14,1:51.92,,,,
../data/raw/Layout A/2016-complete-trials-results.pdf,MANAGER 6.0 - 7:27 PM 7/3/2016 Page 1,,,,4:14.07,4:03.84,,,,
../data/raw/Layout A/2020-complete-us-open-results.pdf,MANAGER 8.0 - 5:44 PM 11/16/2020 Page 1,Women,800,Meter Freestyle,1:52.71,1:51.51,,,,
../data/raw/Layout A/knoxville-complete-results.pdf,MANAGER 7.0 - 8:22 PM 1/19/2020 Page 1,Women,800,Meter Freestyle,1:55.14,1:51.92,,,,
../data/raw/Layout A/phillips-66-nationals-complete-results.pdf,MANAGER 7.0 - 7:52 PM 8/4/2019 Page 1,Women,200,Meter Butterfly,3:35.17,3:27.28,,,,
../data/raw/Layout A/2022-toyota-us-open-complete-results.pdf,MANAGER 8.0 - 8:58 PM 12/3/2022 Page 1,Women,800,Meter Freestyle,3:15.79,3:08.24,,,,
../data/raw/Layout A/bloomington-pro-series-complete-results.pdf,MANAGER 7.0 - 8:13 PM 5/19/2019 Page 1,Women,1500,Meter Freestyle,1:57.06,1:54.00,,,,
../data/raw/Layout A/2021-toyota-u-s-open---complete-meet-results.pdf,MANAGER 8.0 - 9:28 PM 12/4/2021 Page 1,Women,800,Meter Freestyle,1:53.79,1:51.51,,,,
../data/raw/Layout A/toyota-u-s-open-complete-meet-results.pdf,MANAGER 7.0 - 9:39 PM 12/7/2019 Page 1,Women,800,Meter Freestyle,1:52.71,1:51.51,,,,
../data/raw/Layout A/clovis-complete-results.pdf,MANAGER 7.0 - 6:50 PM 6/15/2019 Page 1,Women,800,Meter Freestyle,1:55.14,1:51.92,,,,
../data/raw/Layout A/complete-meet-results-aps-atlanta-2017.pdf,MANAGER 6.0 - 9:13 PM 5/7/2017 Page 1,Women,1500,Meter Freestyle,14:51.55,14:39.48,,,,
../data/raw/Layout A/compllete-results-lc-nationals-2017.pdf,MANAGER 7.0 - 7:58 PM 7/1/2017 Page 1,Women,200,Meter Butterfly,7:45.67,7:43.60,,,,
../data/raw/Layout A/santa-clara---final-results.pdf,MANAGER 7.0 - 8:02 PM 6/10/2018 Page 1,Women,1500,Meter Freestyle,3:40.07,3:42.78,,,,
../data/raw/Layout A/complete-results-westmont.pdf,MANAGER 8.0 - 7:23 PM 3/5/2022 Page 1,Women,1500,Meter Freestyle,1:57.06,1:54.00,,,,
../data/raw/Layout A/tyr-pss-richmond-full-meet-results.pdf,MANAGER 8.0 - 8:39 PM 1/17/2021 Page 1,Women,800,Meter Freestyle,1:55.14,1:51.92,,,,
../data/raw/Layout A/tyr-pro-swim-series-at-mesa-complete-results.pdf,MANAGER 7.0 - 9:01 AM 04/15/2018 Page 1,Women,400,Meter IM,14:51.55,14:39.48,,,,
../data/raw/Layout A/2023-tyr-pro-swim-series-knoxville-meet-results.pdf,MANAGER 8.0 - 8:36 PM 1/14/2023 Page 1,Women,800,Meter Freestyle,1:55.14,1:51.92,,,,
../data/raw/Layout A/2025-pss-westmont-complete-meet-results.pdf,MANAGER 8.0 - 7:51 PM 3/8/2025 Page 1,Women,1500,Meter Freestyle,1:56.99,1:54.00,,,,
../data/raw/Layout A/1996.pdf,Results Page 1 of 57,WOMEN,100,s FREESTYLE,,,,,,
../data/raw/Layout A/2021-speedo-summer-championships-east---complete-results.pdf,MANAGER 8.0 - 7:19 PM 8/7/2021 Page 1,Women,200,Meter Butterfly,3:26.78,3:26.78,,,,
../data/raw/Layout A/2018-phillips-66-nationals---complete-results.pdf,MANAGER 7.0 - 8:11 PM 07/29/2018 Page 1,Women,200,Meter Butterfly,7:45.67,7:43.60,,,,
../data/raw/Layout A/tyr-pro-swim-series---final-results.pdf,MANAGER 7.0 - 9:30 AM 1/14/2018 Page 1,Women,400,Meter IM,8:04.79,8:04.79,,,,
