event,meet,stroke,gender,distance,records,entries
1,Bloomington Pro Series,Freestyle,Women,1500,"[['World', '15:20.48', '5/16/2018', 'Katie Ledecky', 'USA'], ['American', '15:20.48', '5/16/2018', 'Katie Ledecky', 'Stanford'], ['U.S. Open', '15:20.48', '5/16/2018', 'Katie Ledecky', 'Stanford']]",[]
2,Bloomington Pro Series,Freestyle,Men,1500,"[['World', '14:31.02', '8/4/2012', 'Yang Sun', 'CHN'], ['American', '14:39.48', '8/13/2016', 'Connor Jaeger', 'USA'], ['U.S. Open', '14:45.54', '7/6/2008', 'Peter Vanderkaay', 'Club Wolverine']]",[]
3,Bloomington Pro Series,Freestyle,Women,100,"[['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.27', '7/28/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin'], ['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.27', '7/28/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin']]",[]
4,Bloomington Pro Series,Freestyle,Men,100,"[['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.17', '7/27/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.58', '7/2/2008', 'Jason Lezak', 'Rose Bowl'], ['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.17', '7/27/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.58', '7/2/2008', 'Jason Lezak', 'Rose Bowl']]",[]
5,Bloomington Pro Series,Breaststroke,Women,100,"[['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan']]",[]
6,Bloomington Pro Series,Breaststroke,Men,100,"[['World', '57.10', '8/4/2018', 'Adam Peaty', 'GBR'], ['American', '58.64', '7/23/2017', 'Kevin Cordes', 'USA'], ['U.S. Open', '58.74', '6/30/2017', 'Kevin Cordes', 'Unattached-SE'], ['World', '57.10', '8/4/2018', 'Adam Peaty', 'GBR'], ['American', '58.64', '7/23/2017', 'Kevin Cordes', 'USA'], ['U.S. Open', '58.74', '6/30/2017', 'Kevin Cordes', 'Unattached-SE']]",[]
7,Bloomington Pro Series,Backstroke,Women,50,"[['World', '26.98', '8/19/2018', 'Liu Xiang', 'CHN'], ['American', '27.43', '4/14/2018', 'Olivia Smoligna', 'USA'], ['U.S. Open', '27.43', '4/14/2018', 'Olivia Smoligna', 'USA'], ['World', '26.98', '8/19/2018', 'Liu Xiang', 'CHN'], ['American', '27.43', '4/14/2018', 'Olivia Smoligna', 'USA'], ['U.S. Open', '27.43', '4/14/2018', 'Olivia Smoligna', 'USA']]",[]
8,Bloomington Pro Series,Backstroke,Men,50,"[['World', '24.00', '8/4/2018', 'Kliment Kolesnikov', 'RUS'], ['American', '24.24', '7/27/2018', 'Ryan Murphy', 'CAL'], ['U.S. Open', '24.24', '7/27/2018', 'Ryan Murphy', 'CAL'], ['World', '24.00', '8/4/2018', 'Kliment Kolesnikov', 'RUS'], ['American', '24.24', '7/27/2018', 'Ryan Murphy', 'CAL'], ['U.S. Open', '24.24', '7/27/2018', 'Ryan Murphy', 'CAL']]",[]
9,Bloomington Pro Series,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.87', '7/25/2018', 'Hali Flickinger', 'Athens Bulldog-G'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.87', '7/25/2018', 'Hali Flickinger', 'Athens Bulldog-G']]",[]
10,Bloomington Pro Series,Butterfly,Men,200,"[['World', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]",[]
11,Bloomington Pro Series,Freestyle,Women,400,"[['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford']]",[]
12,Bloomington Pro Series,Freestyle,Men,400,"[['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan']]",[]
13,Bloomington Pro Series,Freestyle,Women,200,"[['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/28/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/28/2012', 'Allison Schmitt', 'North Baltimore']]",[]
14,Bloomington Pro Series,Freestyle,Men,200,"[['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine']]",[]
15,Bloomington Pro Series,Breaststroke,Women,50,"[['World', '29.40', '7/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '7/30/2017', 'Lilly King', 'USA'], ['U.S. Open', '29.62', '6/10/2018', 'Lilly King', 'USA'], ['World', '29.40', '7/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '7/30/2017', 'Lilly King', 'USA'], ['U.S. Open', '29.62', '6/10/2018', 'Lilly King', 'USA']]",[]
16,Bloomington Pro Series,Breaststroke,Men,50,"[['World', '25.95', '7/25/2017', 'Adam Peaty', 'GBR'], ['American', '26.76', '8/4/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.84', '7/27/2018', 'Michael Andrew', 'RPC'], ['World', '25.95', '7/25/2017', 'Adam Peaty', 'GBR'], ['American', '26.76', '8/4/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.84', '7/27/2018', 'Michael Andrew', 'RPC']]",[]
17,Bloomington Pro Series,Butterfly,Women,50,"[['World', '24.43', '7/5/2014', 'Sarah Sjostrom', 'SWE'], ['U.S. Open', '25.48', '8/26/2017', 'Rikako Ikee', 'JPN'], ['World', '24.43', '7/5/2014', 'Sarah Sjostrom', 'SWE'], ['U.S. Open', '25.48', '8/26/2017', 'Rikako Ikee', 'JPN']]",[]
18,Bloomington Pro Series,Butterfly,Men,50,"[['World', '22.27', '7/1/2017', 'Andrii Govorov', 'UKR'], ['American', '22.76', '7/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '7/18/2009', 'Bryan Lundquist', 'RAYS'], ['World', '22.27', '7/1/2017', 'Andrii Govorov', 'UKR'], ['American', '22.76', '7/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '7/18/2009', 'Bryan Lundquist', 'RAYS']]",[]
19,Bloomington Pro Series,Backstroke,Women,200,"[['World', '2:04.06', '8/3/2012', 'Missy Franklin', 'USA'], ['American', '2:04.06', '8/3/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '2:05.68', '6/25/2013', 'Missy Franklin', 'Colorado STARS-C'], ['World', '2:04.06', '8/3/2012', 'Missy Franklin', 'USA'], ['American', '2:04.06', '8/3/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '2:05.68', '6/25/2013', 'Missy Franklin', 'Colorado STARS-C']]",[]
