event,meet,stroke,gender,distance,records,entries
1,2018 Phillips 66 Nationals  ,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '07/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.87', '07/25/2018', 'Hali Flickinger', 'Athens Bulldog-G'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '07/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.87', '07/25/2018', 'Hali Flickinger', 'Athens Bulldog-G']]",[]
2,2018 Phillips 66 Nationals  ,Butterfly,Men,200,"[['World', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '07/02/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '07/02/2008', 'Michael Phelps', 'Club Wolverine']]",[]
3,2018 Phillips 66 Nationals  ,Freestyle,Women,100,"[['World', '51.71', '07/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.27', '07/28/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '07/25/2018', 'Simone Manuel', 'Stanford Swimmin'], ['World', '51.71', '07/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.27', '07/28/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '07/25/2018', 'Simone Manuel', 'Stanford Swimmin']]",[]
4,2018 Phillips 66 Nationals  ,Freestyle,Men,100,"[['World', '46.91', '07/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.17', '07/27/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.58', '07/02/2008', 'Jason Lezak', 'Rose Bowl'], ['World', '46.91', '07/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.17', '07/27/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.58', '07/02/2008', 'Jason Lezak', 'Rose Bowl']]",[]
5,2018 Phillips 66 Nationals  ,Freestyle,Women,800,"[['World', '8:04.79', '08/07/2016', 'Katie Ledecky', 'USA'], ['American', '8:04.79', '08/07/2016', 'Katie Ledecky', 'USA']]",[]
6,2018 Phillips 66 Nationals  ,Freestyle,Men,1500,"[['World', '14:31.02', '08/04/2012', 'Yang Sun', 'CHN'], ['American', '14:39.48', '08/13/2016', 'Connor Jaeger', 'USA'], ['U.S. Open', '14:45.54', '07/06/2008', 'Peter Vanderkaay', 'Club Wolverine']]",[]
7,2018 Phillips 66 Nationals  ,Freestyle,Women,200,"[['World', '1:52.98', '07/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '07/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '06/25/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '07/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '07/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '06/25/2012', 'Allison Schmitt', 'North Baltimore']]",[]
8,2018 Phillips 66 Nationals  ,Freestyle,Men,200,"[['World', '1:42.00', '07/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '08/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '07/01/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '07/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '08/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '07/01/2008', 'Michael Phelps', 'Club Wolverine']]",[]
9,2018 Phillips 66 Nationals  ,Breaststroke,Women,200,"[['World', '2:19.11', '08/01/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '08/02/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '07/07/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:19.11', '08/01/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '08/02/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '07/07/2009', 'Rebecca Soni', 'Trojan']]",[]
10,2018 Phillips 66 Nationals  ,Breaststroke,Men,200,"[['World', '2:06.67', '01/27/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '06/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '06/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:06.67', '01/27/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '06/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '06/30/2016', 'Josh Prenot', 'Cal Aquatics']]",[]
11,2018 Phillips 66 Nationals  ,Backstroke,Women,200,"[['World', '2:04.06', '08/03/2012', 'Missy Franklin', 'USA'], ['American', '2:04.06', '08/03/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '2:05.68', '06/25/2013', 'Missy Franklin', 'Colorado STARS-C'], ['World', '2:04.06', '08/03/2012', 'Missy Franklin', 'USA'], ['American', '2:04.06', '08/03/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '2:05.68', '06/25/2013', 'Missy Franklin', 'Colorado STARS-C']]",[]
12,2018 Phillips 66 Nationals  ,Backstroke,Men,200,"[['World', '1:51.92', '07/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '07/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '07/11/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '1:51.92', '07/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '07/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '07/11/2009', 'Aaron Peirsol', 'Longhorn']]",[]
13,2018 Phillips 66 Nationals  ,Butterfly,Women,50,"[['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN'], ['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN']]",[]
14,2018 Phillips 66 Nationals  ,Butterfly,Men,50,"[['World', '22.27', '07/01/2018', 'Andriy Govorov', 'UKR'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays'], ['World', '22.27', '07/01/2018', 'Andriy Govorov', 'UKR'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays']]",[]
15,2018 Phillips 66 Nationals  ,IM,Women,400,"[['World', '4:26.36', '08/06/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '06/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '06/19/2015', 'Katinka Hosszu', 'HUN'], ['World', '4:26.36', '08/06/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '06/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '06/19/2015', 'Katinka Hosszu', 'HUN']]",[]
