event,meet,stroke,gender,distance,records,entries
1,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Women,800,"[['World', '8:04.79', '8/12/2016', 'Katie Ledecky', 'USA'], ['American', '8:04.79', '8/12/2016', 'Katie Ledecky', 'USA']]",[]
2,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Men,800,"[['World', '7:32.12', '7/29/2009', 'Lin Zhang', 'CHN'], ['American', '7:38.67', '7/26/2023', 'Bobby Finke', 'USA'], ['U.S. Open', '7:40.34', '7/1/2023', 'Bobby Finke', 'Saint Petersburg']]",[]
3,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Women,400,"[['World', '3:55.38', '7/23/2023', 'Airiane Titmus', 'AUS'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['World', '3:55.38', '7/23/2023', 'Airiane Titmus', 'AUS'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford']]",[]
4,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Men,400,"[['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan']]",[]
5,2023 Toyota Us Open Championships Complete Competition Results,IM,Women,200,"[['World', '2:06.12', '8/3/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '7/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:07.09', '7/1/2023', 'Kate Douglass', 'New York Athleti'], ['World', '2:06.12', '8/3/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '7/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:07.09', '7/1/2023', 'Kate Douglass', 'New York Athleti']]",[]
6,2023 Toyota Us Open Championships Complete Competition Results,IM,Men,200,"[['World', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '7/10/2009', 'Ryan Lochte', 'Daytona Beach'], ['World', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '7/10/2009', 'Ryan Lochte', 'Daytona Beach']]",[]
7,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Women,50,"[['World', '23.61', '7/29/2023', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '7/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.00', '7/1/2023', 'Abbey Weitzeil', 'California Aquat'], ['World', '23.61', '7/29/2023', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '7/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.00', '7/1/2023', 'Abbey Weitzeil', 'California Aquat']]",[]
8,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Men,50,"[['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['U.S. Open', '21.04', '6/20/2021', 'Caeleb Dressel', 'Gator Swim Club-'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['U.S. Open', '21.04', '6/20/2021', 'Caeleb Dressel', 'Gator Swim Club-']]",[]
9,2023 Toyota Us Open Championships Complete Competition Results,IM,Women,400,"[['World', '4:25.87', '4/1/2023', 'Summer McIntosh', 'CAN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:28.61', '12/2/2022', 'Summer McIntosh', 'SYS-FL'], ['World', '4:25.87', '4/1/2023', 'Summer McIntosh', 'CAN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:28.61', '12/2/2022', 'Summer McIntosh', 'SYS-FL']]",[]
10,2023 Toyota Us Open Championships Complete Competition Results,IM,Men,400,"[['World', '4:02.50', '7/23/2023', 'Leon Marchand', 'FRA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '4:02.50', '7/23/2023', 'Leon Marchand', 'FRA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine']]",[]
