event,meet,stroke,gender,distance,records,entries
1,Tyr Pro Swim Series At Mesa,IM,Women,400,"[['World', '4:26.36', '08/06/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '06/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '06/19/2015', 'Katinka Hosszu', 'HUN'], ['World', '4:26.36', '08/06/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '06/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '06/19/2015', 'Katinka Hosszu', 'HUN']]",[]
2,Tyr Pro Swim Series At Mesa,IM,Men,400,"[['World', '4:03.84', '08/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '08/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '06/29/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '4:03.84', '08/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '08/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '06/29/2008', 'Michael Phelps', 'Club Wolverine']]",[]
3,Tyr Pro Swim Series At Mesa,Butterfly,Women,100,"[['World', '55.48', '08/07/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '07/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '01/15/2016', 'Sarah Sjostrom', 'SWE'], ['World', '55.48', '08/07/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '07/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '01/15/2016', 'Sarah Sjostrom', 'SWE']]",[]
4,Tyr Pro Swim Series At Mesa,Butterfly,Men,100,"[['World', '49.82', '08/01/2009', 'Michael Phelps', 'USA'], ['American', '49.82', '08/01/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '50.22', '07/09/2009', 'Michael Phelps', 'North Baltimore'], ['World', '49.82', '08/01/2009', 'Michael Phelps', 'USA'], ['American', '49.82', '08/01/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '50.22', '07/09/2009', 'Michael Phelps', 'North Baltimore']]",[]
5,Tyr Pro Swim Series At Mesa,Backstroke,Women,200,"[['World', '2:04.06', '08/03/2012', 'Missy Franklin', 'USA Olympic Team'], ['American', '2:04.06', '08/03/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '2:05.68', '06/26/2013', 'Missy Franklin', 'Colorado STARS-C'], ['World', '2:04.06', '08/03/2012', 'Missy Franklin', 'USA Olympic Team'], ['American', '2:04.06', '08/03/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '2:05.68', '06/26/2013', 'Missy Franklin', 'Colorado STARS-C']]",[]
6,Tyr Pro Swim Series At Mesa,Backstroke,Men,200,"[['World', '1:51.92', '07/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '07/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '07/11/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '1:51.92', '07/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '07/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '07/11/2009', 'Aaron Peirsol', 'Longhorn']]",[]
7,Tyr Pro Swim Series At Mesa,Breaststroke,Women,200,"[['World', '2:19.11', '08/01/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '08/02/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '07/11/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:19.11', '08/01/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '08/02/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '07/11/2009', 'Rebecca Soni', 'Trojan']]",[]
8,Tyr Pro Swim Series At Mesa,Breaststroke,Men,200,"[['World', '2:06.67', '01/29/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '06/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '06/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:06.67', '01/29/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '06/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '06/30/2016', 'Josh Prenot', 'Cal Aquatics']]",[]
9,Tyr Pro Swim Series At Mesa,Freestyle,Women,200,"[['World', '1:52.98', '07/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '07/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '06/28/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '07/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '07/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '06/28/2012', 'Allison Schmitt', 'North Baltimore']]",[]
10,Tyr Pro Swim Series At Mesa,Freestyle,Men,200,"[['World', '1:42.00', '07/26/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '08/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '07/01/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '07/26/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '08/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '07/01/2008', 'Michael Phelps', 'Club Wolverine']]",[]
12,Tyr Pro Swim Series At Mesa,Freestyle,Women,800,"[['World', '8:04.79', '08/07/2016', 'Katie Ledecky', 'USA'], ['American', '8:04.79', '08/07/2016', 'Katie Ledecky', 'USA']]",[]
13,Tyr Pro Swim Series At Mesa,Freestyle,Men,800,"[['World', '7:32.12', '07/29/2009', 'Lin Zhang', 'CHN'], ['American', '7:43.60', '07/31/2013', 'Michael McBroom', 'USA']]",[]
14,Tyr Pro Swim Series At Mesa,Backstroke,Women,100,"[['World', '58.10', '07/25/2017', 'Kylie Masse', 'CAN'], ['American', '58.33', '07/30/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '58.57', '06/30/2017', 'Kathleen Baker', 'Team Elite-NC'], ['World', '58.10', '07/25/2017', 'Kylie Masse', 'CAN'], ['American', '58.33', '07/30/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '58.57', '06/30/2017', 'Kathleen Baker', 'Team Elite-NC']]",[]
15,Tyr Pro Swim Series At Mesa,Backstroke,Men,100,"[['World', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '07/08/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '07/08/2009', 'Aaron Peirsol', 'Longhorn']]",[]
16,Tyr Pro Swim Series At Mesa,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '07/30/2009', 'Mary DeScenza', 'USA'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '07/30/2009', 'Mary DeScenza', 'USA']]",[]
17,Tyr Pro Swim Series At Mesa,Butterfly,Men,200,"[['World', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '07/02/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '07/02/2008', 'Michael Phelps', 'Club Wolverine']]",[]
