event,meet,stroke,gender,distance,records,entries
1,Phillips 66 Nationals,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.87', '7/25/2018', 'Hali Flickinger', 'Athens Bulldog-G'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.87', '7/25/2018', 'Hali Flickinger', 'Athens Bulldog-G']]",[]
2,Phillips 66 Nationals,Butterfly,Men,200,"[['World', '1:50.73', '7/24/2019', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:50.73', '7/24/2019', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]",[]
3,Phillips 66 Nationals,Freestyle,Women,100,"[['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin'], ['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin']]",[]
4,Phillips 66 Nationals,Freestyle,Men,100,"[['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.39', '7/31/2019', 'Ryan Held', 'New York Athleti'], ['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.39', '7/31/2019', 'Ryan Held', 'New York Athleti']]",[]
5,Phillips 66 Nationals,Freestyle,Women,800,"[['World', '8:04.79', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '8:04.79', '8/7/2016', 'Katie Ledecky', 'USA']]",[]
6,Phillips 66 Nationals,Freestyle,Men,1500,"[['World', '14:31.02', '8/4/2012', 'Yang Sun', 'CHN'], ['American', '14:39.48', '8/13/2016', 'Connor Jaeger', 'USA'], ['U.S. Open', '14:45.54', '7/6/2008', 'Peter Vanderkaay', 'Club Wolverine'], ['World', '3:08.24', '8/11/2008', 'USA Olympic', 'Team'], ['American', '3:08.24', '8/11/2008', 'USA Olympic', 'Team'], ['U.S. Open', '3:11.74', '8/20/2010', 'USA Pan', 'Pacific Team']]",[]
8,Phillips 66 Nationals,Freestyle,Women,200,"[['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/25/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/25/2012', 'Allison Schmitt', 'North Baltimore']]",[]
9,Phillips 66 Nationals,Freestyle,Men,200,"[['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine']]",[]
10,Phillips 66 Nationals,Breaststroke,Women,200,"[['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/7/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/7/2009', 'Rebecca Soni', 'Trojan']]",[]
11,Phillips 66 Nationals,Breaststroke,Men,200,"[['World', '2:06.12', '7/26/2019', 'Anton Chupkov', 'RUS'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:06.12', '7/26/2019', 'Anton Chupkov', 'RUS'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics']]",[]
