event,meet,stroke,gender,distance,records,entries
1,Compllete Results Lc Nationals 2017,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Mohler', 'USA'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Mohler', 'USA']]",[]
2,Compllete Results Lc Nationals 2017,Butterfly,Men,200,"[['World', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]",[]
3,Compllete Results Lc Nationals 2017,Freestyle,Women,100,"[['American', '52.70', '8/11/2016', 'Simone Manuel', 'USA'], ['U.S. Open', '52.81', '6/27/2017', 'Mallory Comerford', 'Univ Louisville-'], ['American', '52.70', '8/11/2016', 'Simone Manuel', 'USA'], ['U.S. Open', '52.81', '6/27/2017', 'Mallory Comerford', 'Univ Louisville-']]",[]
4,Compllete Results Lc Nationals 2017,Freestyle,Men,100,"[['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.33', '7/30/2009', 'David Walters', 'USA'], ['U.S. Open', '47.58', '7/2/2008', 'Jason Lezak', 'Rose Bowl'], ['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.33', '7/30/2009', 'David Walters', 'USA'], ['U.S. Open', '47.58', '7/2/2008', 'Jason Lezak', 'Rose Bowl']]",[]
5,Compllete Results Lc Nationals 2017,Freestyle,Women,800,"[['World', '8:04.79', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '8:04.79', '8/7/2016', 'Katie Ledecky', 'USA']]",[]
6,Compllete Results Lc Nationals 2017,Freestyle,Men,1500,"[['World', '14:31.02', '8/4/2012', 'Yang Sun', 'CHN'], ['American', '14:39.48', '8/13/2016', 'Connor Jaeger', 'USA'], ['U.S. Open', '14:45.54', '7/6/2008', 'Peter Vanderkaay', 'Club Wolverine']]",[]
7,Compllete Results Lc Nationals 2017,Freestyle,Women,200,"[['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/28/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/28/2012', 'Allison Schmitt', 'North Baltimore']]",[]
8,Compllete Results Lc Nationals 2017,Freestyle,Men,200,"[['World', '1:42.00', '7/26/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '7/26/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine']]",[]
9,Compllete Results Lc Nationals 2017,Breaststroke,Women,200,"[['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/11/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/11/2009', 'Rebecca Soni', 'Trojan']]",[]
10,Compllete Results Lc Nationals 2017,Breaststroke,Men,200,"[['World', '2:06.67', '1/29/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:06.67', '1/29/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics']]",[]
